,lat,lng,name,osm_accuracy,population,district,subject,density,ivl_per_100k,ivl_number,ekmo_per_100k,ekmo_number,life_quality_place_rating,ecology,cleanness,public_services,neighbourhood,children_places,sport_and_outdoor,shops_and_malls,public_transport,security,life_costs
324,56.33555429999999,36.73521470000001,Клин,0.62876926361137,62510,Центральный,Московская область,"169,08",н. д.,"0,01",1,,171.0,172.0,98.0,154.0,178.0,187.0,228.0,101.0,45.0,190.0,159.0
325,52.758511,32.240097,Клинцы,0.5955262571396489,62510,Центральный,Брянская область,"34,7",н. д.,"0,08",1,,173.0,153.0,79.0,163.0,234.0,215.0,64.0,158.0,95.0,185.0,245.0
326,56.355386100000004,41.31699298284661,Ковров,0.607368650240691,145492,Центральный,Владимирская область,"47,53","31,4",426,"0,07",1.0,183.0,117.0,207.0,158.0,228.0,148.0,194.0,39.0,217.0,196.0,110.0
327,54.038091200000004,43.915620200000006,Ковылкино,0.586293674951841,21307,Приволжский,Мордовия,"30,73",н. д.,"0,13",1,,,,,,,,,,,,
328,62.26798,74.4889068,Когалым,0.6009570824071011,58192,Уральский,Ханты-Мансийский АО — Югра,"3,16","56,8",951,"0,18",3.0,15.0,20.0,7.0,41.0,6.0,87.0,189.0,110.0,18.0,3.0,121.0
329,58.596329000000004,99.18291500000001,Кодинск,0.5975712848382421,14835,Сибирский,Красноярский край,"1,23","24,6",706,"0,03",1.0,,,,,,,,,,,
330,54.037102000000004,35.780102,Козельск,0.579166584106196,18203,Центральный,Калужская область,"33,85","4,8",48,"0,1",1.0,,,,,,,,,,,
331,56.3324346,46.546285499999996,Козьмодемьянск,0.594537103017921,21262,Приволжский,Марий Эл,"29,41","20,9",124,0,0.0,,,,,,,,,,,
332,68.880638,33.019726,Кола,0.525869947621939,10447,Северо-Западный,Мурманская область,"5,2","30,5",226,"0,27",2.0,,,,,,,,,,,
333,55.0938743,38.7670121,Коломна,0.656128792076246,144642,Центральный,Московская область,"169,08",н. д.,"0,01",1,,74.0,49.0,82.0,100.0,123.0,77.0,128.0,124.0,37.0,118.0,123.0
334,58.313667,82.90355699999999,Колпашево,0.5958292341883741,24126,Сибирский,Томская область,"3,4","37,1",400,"0,37",4.0,,,,,,,,,,,
335,54.665443,86.166115,Кольчугино,0.49406490621735605,45804,Центральный,Владимирская область,"47,53","31,4",426,"0,07",1.0,,,,,,,,,,,
336,57.02732099999999,40.377602,Комсомольск,0.585556534477902,8693,Центральный,Ивановская область,"42,45","17,9",178,н. д.,,,,,,,,,,,,
337,50.550877,137.020782,Комсомольск-на-Амуре,0.823045069244238,263906,Дальневосточный,Хабаровский край,"1,68",н. д.,"0,08",1,,220.0,193.0,206.0,230.0,244.0,206.0,225.0,189.0,132.0,183.0,210.0
338,56.713157200000005,36.7775654,Конаково,0.598245606656467,41303,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
339,62.20929,34.268184999999995,Кондопога,0.599177431740209,32978,Северо-Западный,Карелия,"3,61","32,5",200,"0,16",1.0,,,,,,,,,,,
340,54.8028,35.9322,Кондрово,0.588897499732059,16672,Центральный,Калужская область,"33,85","4,8",48,"0,1",1.0,,,,,,,,,,,
341,53.92099,40.019211,Кораблино,0.586048939755188,12657,Центральный,Рязанская область,"28,32","27,1",300,н. д.,,,,,,,,,,,,
342,45.463586299999996,39.4487565,Кореновск,0.597548679886816,41179,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
343,54.889922999999996,61.407963,Коркино,0.600138750616928,38950,Уральский,Челябинская область,"39,74","24,5",849,"0,06",2.0,,,,,,,,,,,
344,50.810741,37.195316,Короча,0.590768009186741,5877,Центральный,Белгородская область,"57,19","16,8",260,н. д.,,,,,,,,,,,,
345,61.3151659,47.1607626,Коряжма,0.593555941402207,39629,Северо-Западный,Архангельская область,"2,71","38,4",419,"0,18",2.0,,,,,,,,,,,
346,64.5873013,30.5969076,Костомукша,0.587129289930119,28433,Северо-Западный,Карелия,"3,61","32,5",200,"0,16",1.0,,,,,,,,,,,
347,57.7679158,40.9269141,Кострома,0.6577162764613411,268617,Центральный,Костромская область,"10,7","19,1",121,н. д.,,121.0,58.0,160.0,161.0,182.0,108.0,164.0,161.0,160.0,95.0,73.0
348,47.633227399999996,43.141090000000005,Котельниково,0.590591086040598,20441,Южный,Волгоградская область,"22,14",,,,,,,,,,,,,,,
349,58.3053524,48.3372596,Котельнич,0.605770061011093,24979,Приволжский,Кировская область,"10,62","39,6",500,"0,08",1.0,,,,,,,,,,,
350,61.252151,46.647628999999995,Котлас,0.614172803149122,60562,Северо-Западный,Архангельская область,"2,71","38,4",419,"0,18",2.0,,,,,,,,,,,
351,50.322208,44.801643,Котово,0.588164706733311,24104,Южный,Волгоградская область,"22,14",,,,,,,,,,,,,,,
352,56.121089500000004,38.1457655,Красноармейск,0.609194964270535,26294,Центральный,Московская область,"169,08",н. д.,"0,01",1,,,,,,,,,,,,
353,56.121089500000004,38.1457655,Красноармейск,0.609194964270535,26294,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,,,,,,,,,,,
354,60.40546155,57.0820319704652,Красновишерск,0.591570395125034,17129,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,,,,,,,,,,,
355,45.0352566,38.976481400000004,Краснодар,0.7074378955246792,34926,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,28.0,57.0,23.0,14.0,104.0,123.0,30.0,44.0,67.0,45.0,10.0
356,50.096992,118.041344,Краснокаменск,0.600290314647502,55668,Сибирский,Забайкальский край,"2,49","22,8",242,н. д.,,,,,,,,,,,,
357,58.0812613,55.758694299999995,Краснокамск,0.5950572107405551,52632,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,,,,,,,,,,,
358,48.7045848,44.563795899999995,Краснослободск,0.5899294602055171,16007,Южный,Волгоградская область,"22,14",,,,,,,,,,,,,,,
359,48.7045848,44.563795899999995,Краснослободск,0.5899294602055171,16007,Приволжский,Мордовия,"30,73",н. д.,"0,13",1,,,,,,,,,,,,
360,59.76463100000001,60.193611700000005,Краснотурьинск,0.61152722965004,59701,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
361,58.357063000000004,60.037445,Красноуральск,0.6045511604111831,24973,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
362,56.604538,57.771313,Красноуфимск,0.6084985455683941,39765,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
363,56.0090968,92.8725147,Красноярск,0.692879584384482,1095286,Сибирский,Красноярский край,"1,23","24,6",706,"0,03",1.0,134.0,233.0,139.0,53.0,213.0,41.0,68.0,187.0,64.0,156.0,40.0
364,50.9459056,46.972462,Красный Кут,0.6808184655132371,14420,Приволжский,Саратовская область,"24,58","22,1",536,н. д.,,,,,,,,,,,,
365,47.891552000000004,40.071899,Красный Сулин,0.685432732995189,40866,Южный,Ростовская область,"41,87","15,3",643,"0,05",2.0,,,,,,,,,,,
366,58.056506999999996,37.114731,Красный Холм,0.684394490383432,5608,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
367,45.434441299999996,40.575027399999996,Кропоткин,0.601404699932922,80743,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,202.0,53.0,127.0,208.0,22.0,234.0,161.0,204.0,240.0,229.0,238.0
368,44.9295889,37.9880177,Крымск,0.608384867578516,57370,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
369,56.149551,44.198032,Кстово,0.6010639532495071,66641,Приволжский,Нижегородская область,"43,25",н. д.,"0,03",1,,106.0,238.0,50.0,44.0,124.0,46.0,23.0,74.0,146.0,124.0,107.0
370,55.575548600000005,36.6952802,Кубинка,0.616327230488751,22918,Центральный,Московская область,"169,08",н. д.,"0,01",1,,,,,,,,,,,,
371,51.478756,57.350795999999995,Кувандык,0.5854740830952071,26176,Приволжский,Оренбургская область,"15,95","27,7",542,"0,05",1.0,,,,,,,,,,,
372,57.0314657,34.179663700000006,Кувшиново,0.592362468990463,10008,Центральный,Тверская область,"15,27","9,4",118,0,0.0,,,,,,,,,,,
373,59.01460600000001,54.664134999999995,Кудымкар,0.603018699579093,30711,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,,,,,,,,,,,
374,53.112514000000004,46.600727,Кузнецк,0.5944658379500021,101666,Приволжский,Пензенская область,"30,83","30,7",400,"0,08",1.0,123.0,74.0,80.0,160.0,47.0,147.0,184.0,71.0,211.0,96.0,187.0
375,55.429287,42.511879,Кулебаки,0.5914706663017,35762,Приволжский,Нижегородская область,"43,25",н. д.,"0,03",1,,,,,,,,,,,,
376,52.760975,55.796482,Кумертау,0.599550629955958,62854,Приволжский,Башкортостан,"28,3","25,5",1031,н. д.,,,,,,,,,,,,
377,57.42884399999999,56.944328000000006,Кунгур,0.604993548211425,67857,Приволжский,Пермский край,"16,33",20,520,"0,04",1.0,177.0,26.0,237.0,239.0,41.0,220.0,212.0,166.0,170.0,87.0,205.0
378,54.364929000000004,77.30854000000001,Купино,0.595080748032945,15448,Сибирский,Новосибирская область,"15,65","20,4",570,"0,18",5.0,,,,,,,,,,,
379,55.51707765,65.459065802296,Курган,0.6730796977024279,47974,Уральский,Курганская область,"11,91",,,,,218.0,206.0,232.0,219.0,144.0,182.0,217.0,195.0,124.0,192.0,207.0
380,44.884697100000004,40.589177299999996,Курганинск,0.5965457636841041,47974,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
381,45.22904129999999,147.8751845,Курильск,0.59114542861095,2070,Дальневосточный,Сахалинская область,"5,63",,,,,,,,,,,,,,,
382,51.739433,36.179604,Курск,0.6542295297016271,7721,Центральный,Курская область,"37,42","21,9",242,"0,09",1.0,153.0,99.0,211.0,188.0,233.0,127.0,152.0,76.0,91.0,116.0,113.0
383,54.909466,64.428383,Куртамыш,0.593916717453102,17098,Уральский,Курганская область,"11,91",,,,,,,,,,,,,,,
384,51.6750974,35.6606580678712,Курчатов,0.577874423005468,42691,Центральный,Курская область,"37,42","21,9",242,"0,09",1.0,,,,,,,,,,,
385,55.336521,59.445938,Куса,0.59922145488449,18792,Уральский,Челябинская область,"39,74","24,5",849,"0,06",2.0,,,,,,,,,,,
386,58.28175699999999,59.762329,Кушва,0.6054526742813829,33027,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
387,51.7190995,94.4300627,Кызыл,0.6297424269777679,109906,Сибирский,Тыва,"1,89","37,2",361,н. д.,,249.0,241.0,241.0,240.0,250.0,245.0,244.0,228.0,193.0,250.0,220.0
388,55.723192000000004,60.3671048259304,Кыштым,0.594993548211425,38950,Уральский,Челябинская область,"39,74","24,5",849,"0,06",2.0,,,,,,,,,,,
389,44.6347953,40.7242185,Лабинск,0.600225404268282,62822,Южный,Краснодарский край,"73,73","17,6",1000,"0,07",4.0,,,,,,,,,,,
390,66.6596392,66.3861831,Лабытнанги,0.598044083645186,26948,Уральский,Ямало-Ненецкий АО,"0,72",,,,,,,,,,,,,,,
391,55.4043358,49.546837599999996,Лаишево,0.5920171885391011,7735,Приволжский,Татарстан,"57,27","28,2",1100,н. д.,,,,,,,,,,,,
