transport,departure,arrival,passengers
avia,Ноябрьск,Тюмень,1282
avia,Сургут,Анапа,1384
avia,Тюмень,Красноярск,1364
avia,Краснодар,Томск,1310
avia,Сургут,Бугульма,1389
avia,Сочи,Челябинск,1240
avia,Симферополь (Крым),Красноярск,1323
avia,Якутск,Хабаровск,1292
avia,Хабаровск,Краснодар,1326
avia,Якутск,Нерюнгри,1237
avia,Пермь,Новый Уренгой,1287
avia,Братск,Иркутск,1325
avia,Нижнекамск,Краснодар,1251
avia,Симферополь (Крым),Казань,1330
avia,Минеральные Воды,Новосибирск,1328
avia,Брянск,Санкт-Петербург,1239
avia,Ростов-на-Дону,Новый Уренгой,1327
avia,Симферополь (Крым),Чебоксары,1363
avia,Волгоград,Ростов-на-Дону,1326
avia,Калининград,Екатеринбург,1320
avia,Якутск,Иркутск,1300
avia,Нижний Новгород,Самара,1233
avia,Мирный,Красноярск,1294
avia,Омск,Минеральные Воды,1301
avia,Хабаровск,Улан-Удэ,1325
avia,Санкт-Петербург,Орск,1237
avia,Новосибирск,Якутск,1314
avia,Мурманск,Минеральные Воды,1309
avia,Омск,Новый Уренгой,1220
avia,Кызыл,Москва,1260
avia,Иркутск,Хабаровск,1267
avia,Сочи,Иркутск,1289
avia,Хабаровск,Магадан,1252
avia,Чита,Новосибирск,1250
avia,Нижний Новгород,Симферополь (Крым),1226
avia,Южно-Курильск,Южно-Сахалинск,1167
avia,Красноярск,Якутск,1267
avia,Мурманск,Сочи,1177
avia,Сочи,Нижний Новгород,1265
avia,Надым,Уфа,1169
avia,Калининград,Краснодар,1197
avia,Самара,Нижний Новгород,1225
avia,Минеральные Воды,Уфа,1177
avia,Челябинск,Сочи,1258
avia,Новосибирск,Пермь,1203
avia,Салехард,Омск,1282
avia,Мурманск,Калининград,1216
avia,Ханты-Мансийск,Берёзово,1264
avia,Нижний Новгород,Пермь,1284
avia,Горно-Алтайск,Красноярск,1207
avia,Пермь,Симферополь (Крым),1219
avia,Таксимо,Улан-Удэ,1156
avia,Иркутск,Краснодар,1177
avia,Томск,Сургут,1216
avia,Иркутск,Нижнеангарск,1141
avia,Томск,Иркутск,1127
avia,Ростов-на-Дону,Нижнекамск,1167
avia,Ноябрьск,Екатеринбург,1141
avia,Липецк,Москва,1217
avia,Байкит,Красноярск,1142
avia,Анапа,Тюмень,1113
avia,Нерюнгри,Якутск,1171
avia,Екатеринбург,Ноябрьск,1096
avia,Усинск,Казань,1152
avia,Минеральные Воды,Мурманск,1127
avia,Удачный,Москва,1240
avia,Махачкала,Новый Уренгой,1214
avia,Сочи,Мурманск,1220
avia,Красноярск,Нерюнгри,1115
avia,Уфа,Ноябрьск,1178
avia,Оха,Хабаровск,1236
avia,Санкт-Петербург,Хабаровск,1207
avia,Чебоксары,Симферополь (Крым),1154
avia,Удачный,Иркутск,1126
avia,Магадан,Кепервеем,1203
avia,Новосибирск,Горно-Алтайск,1207
avia,Санкт-Петербург,Ульяновск,1083
