,city,first_1000,first_10000,first_100000,last_1000
491,Мичуринск,49.0,63.0,-1.0,149.0
492,Могоча,-1.0,-1.0,-1.0,0.0
493,Можайск,49.0,-1.0,-1.0,123.0
494,Можга,55.0,77.0,-1.0,140.0
495,Моздок,67.0,-1.0,-1.0,144.0
496,Морозовск,52.0,-1.0,-1.0,120.0
497,Моршанск,45.0,67.0,-1.0,130.0
498,Мосальск,67.0,-1.0,-1.0,75.0
499,Москва,13.0,25.0,38.0,-1.0
500,Мотыгино,93.0,-1.0,-1.0,104.0
501,Мураши,-1.0,-1.0,-1.0,0.0
502,Мурманск,46.0,58.0,-1.0,176.0
503,Муром,46.0,59.0,-1.0,152.0
504,Мценск,49.0,69.0,-1.0,130.0
505,Мыски,-1.0,-1.0,-1.0,0.0
506,Мытищи,-1.0,-1.0,-1.0,0.0
507,Набережные Челны,51.0,64.0,-1.0,-1.0
508,Навашино,58.0,-1.0,-1.0,111.0
509,Надым,58.0,-1.0,-1.0,143.0
510,Назарово,77.0,-1.0,-1.0,173.0
511,Назрань,49.0,64.0,-1.0,149.0
512,Называевск,-1.0,-1.0,-1.0,0.0
513,Нальчик,53.0,66.0,-1.0,178.0
514,Нариманов,73.0,-1.0,-1.0,115.0
515,Наро-Фоминск,73.0,-1.0,-1.0,-1.0
516,Нарткала,-1.0,-1.0,-1.0,0.0
517,Нарьян-Мар,65.0,-1.0,-1.0,125.0
518,Находка,88.0,131.0,-1.0,-1.0
519,Невель,55.0,-1.0,-1.0,108.0
520,Невинномысск,53.0,66.0,-1.0,157.0
521,Невьянск,70.0,-1.0,-1.0,141.0
522,Нелидово,49.0,-1.0,-1.0,118.0
523,Нерехта,73.0,-1.0,-1.0,141.0
524,Нерюнгри,69.0,-1.0,-1.0,174.0
525,Нефтекамск,64.0,85.0,-1.0,-1.0
526,Нефтекумск,57.0,-1.0,-1.0,124.0
527,Нефтеюганск,76.0,100.0,-1.0,-1.0
528,Нея,92.0,-1.0,-1.0,129.0
529,Нижнеангарск,-1.0,-1.0,-1.0,0.0
530,Нижневартовск,55.0,68.0,-1.0,-1.0
