source,target,pass_day,transport,source_lat,source_lng,target_lat,target_lng,target_population,source_population
Барнаул,Нижнекамск,4.266666666666667,avia,53.347402,83.77844959999999,55.641287899999995,51.8160376,234108.0,635585.0
Владикавказ,Белгород,4.433333333333334,avia,43.024592999999996,44.682109999999994,50.5955595,36.5873394,39026.0,311635.0
Краснодар,Магнитогорск,3.8333333333333335,avia,45.0352566,38.976481400000004,53.4242184,58.983136,408401.0,34926.0
Норильск,Екатеринбург,3.066666666666667,avia,69.34983940000001,88.200517,56.839104000000006,60.60825,1377738.0,175301.0
Пермь,Воронеж,4.5,avia,58.014965000000004,56.246722999999996,51.6605982,39.20058579999999,19738.0,1000679.0
Кемерово,Владикавказ,4.033333333333333,avia,55.355125,86.087234,43.024592999999996,44.682109999999994,311635.0,532884.0
Красноярск,Оренбург,3.8,avia,56.0090968,92.8725147,51.767452,55.097118,20663.0,2180.0
Якутск,Хандыга,3.8333333333333335,avia,62.027287,129.732086,62.6477939,135.57509419999997,6095.0,269486.0
Когалым,Минеральные Воды,3.4,avia,62.26798,74.4889068,44.2107377,43.134969,76715.0,58192.0
Мирный,Уфа,4.466666666666667,avia,62.541077,113.97858400000001,54.726288000000004,55.947727,1062300.0,30259.0
Красноярск,Бугульма,4.366666666666666,avia,56.0090968,92.8725147,54.5384152,52.795595299999995,89144.0,2180.0
Махачкала,Симферополь (Крым),3.7666666666666666,avia,42.9830241,47.5048717,44.9521457,34.1024858,332317.0,577990.0
Новосибирск,Воронеж,3.7333333333333334,avia,55.0282171,82.9234509,51.6605982,39.20058579999999,19738.0,30250.0
Назрань,Нижневартовск,3.3333333333333335,avia,43.232077399999994,44.7540128,60.9339411,76.58142740000001,251860.0,93357.0
Уфа,Якутск,3.2333333333333334,avia,54.726288000000004,55.947727,62.027287,129.732086,269486.0,1062300.0
Кострома,Санкт-Петербург,3.6,avia,57.7679158,40.9269141,59.960673899999996,30.158655100000004,4848742.0,268617.0
Пермь,Пенза,4.2,avia,58.014965000000004,56.246722999999996,53.200001,45.0,519592.0,1000679.0
Саратов,Нижний Новгород,4.3,avia,51.530018,46.034683,56.328571,44.003506,1250615.0,12846.0
Петропавловск-Камчатский,Архангельск,3.466666666666667,avia,53.0199693,158.6472187,64.543022,40.537121,348716.0,179526.0
Симферополь (Крым),Белгород,3.7666666666666666,avia,44.9521457,34.1024858,50.5955595,36.5873394,39026.0,332317.0
Ставрополь,Барнаул,3.6666666666666665,avia,45.0433245,41.9690934,53.347402,83.77844959999999,635585.0,32736.0
Белгород,Архангельск,4.1,avia,50.5955595,36.5873394,64.543022,40.537121,348716.0,39026.0
Казань,Саратов,4.0,avia,55.7823547,49.1242266,51.530018,46.034683,12846.0,1216965.0
Белгород,Ульяновск,4.4,avia,50.5955595,36.5873394,54.146317700000004,47.2324921,17149.0,39026.0
Махачкала,Омск,3.466666666666667,avia,42.9830241,47.5048717,54.991375,73.37152900000001,25905.0,577990.0
Назрань,Ханты-Мансийск,3.466666666666667,avia,43.232077399999994,44.7540128,61.00346,69.01915699999999,20283.0,93357.0
Мурманск,Ноябрьск,3.1,avia,68.970665,33.07497,63.2002917,75.4475807,110572.0,59690.0
Белгород,Салехард,3.6666666666666665,avia,50.5955595,36.5873394,66.5375387,66.6157469,42494.0,39026.0
Якутск,Чокурдах,3.6666666666666665,avia,62.027287,129.732086,70.61924,147.902161,2085.0,269486.0
Ижевск,Мурманск,4.166666666666667,avia,56.86655699999999,53.2094166,68.970665,33.07497,59690.0,628117.0
Нарьян-Мар,Екатеринбург,4.4,avia,67.6380175,53.0071044,56.839104000000006,60.60825,1377738.0,21296.0
Петропавловск-Камчатский,Сочи,3.566666666666667,avia,53.0199693,158.6472187,43.585482299999995,39.723109,343285.0,179526.0
Геленджик,Барнаул,3.466666666666667,avia,44.56094470000001,38.076683200000005,53.347402,83.77844959999999,635585.0,54813.0
Благовещенск,Челябинск,3.566666666666667,avia,50.290527000000004,127.527161,55.15984079999999,61.4025547,31916.0,214397.0
Ноябрьск,Воронеж,3.5,avia,63.2002917,75.4475807,51.6605982,39.20058579999999,19738.0,110572.0
Челябинск,Владикавказ,3.2333333333333334,avia,55.15984079999999,61.4025547,43.024592999999996,44.682109999999994,311635.0,31916.0
Астрахань,Петрозаводск,3.8,avia,46.3652486,48.0552168617783,61.790039,34.390007000000004,263540.0,520662.0
Нижнекамск,Волгоград,4.2,avia,55.641287899999995,51.8160376,48.64820995,44.3857637990291,1021244.0,234108.0
Махачкала,Салехард,3.3,avia,42.9830241,47.5048717,66.5375387,66.6157469,42494.0,577990.0
Петропавловск-Камчатский,Краснодар,4.166666666666667,avia,53.0199693,158.6472187,45.0352566,38.976481400000004,34926.0,179526.0
Челябинск,Петрозаводск,3.7333333333333334,avia,55.15984079999999,61.4025547,61.790039,34.390007000000004,263540.0,31916.0
Барнаул,Геленджик,4.633333333333334,avia,53.347402,83.77844959999999,44.56094470000001,38.076683200000005,54813.0,635585.0
Томск,Саратов,4.0,avia,58.6124279,82.04753149999999,51.530018,46.034683,12846.0,25614.0
Воронеж,Ноябрьск,4.1,avia,51.6605982,39.20058579999999,63.2002917,75.4475807,110572.0,19738.0
Иркутск,Ижевск,4.433333333333334,avia,52.289597,104.280586,56.86655699999999,53.2094166,628117.0,6751.0
