,city,first_1000,first_10000,first_100000,last_1000
310,Камень-на-Оби,-1.0,-1.0,-1.0,-1.0
311,Камешково,-1.0,-1.0,-1.0,-1.0
312,Камышин,99.0,-1.0,-1.0,-1.0
313,Камышлов,-1.0,-1.0,-1.0,-1.0
314,Канаш,151.0,-1.0,-1.0,-1.0
315,Кандалакша,-1.0,-1.0,-1.0,-1.0
316,Канск,-1.0,-1.0,-1.0,-1.0
317,Карабаш,-1.0,-1.0,-1.0,-1.0
318,Карагайский,-1.0,-1.0,-1.0,-1.0
319,Карасук,-1.0,-1.0,-1.0,-1.0
320,Карачев,-1.0,-1.0,-1.0,-1.0
321,Каргасок,-1.0,-1.0,-1.0,-1.0
322,Каргат,-1.0,-1.0,-1.0,-1.0
323,Карпинск,-1.0,-1.0,-1.0,-1.0
324,Карталы,-1.0,-1.0,-1.0,-1.0
325,Касимов,84.0,-1.0,-1.0,173.0
326,Касли,-1.0,-1.0,-1.0,-1.0
327,Катав-Ивановск,-1.0,-1.0,-1.0,-1.0
328,Катайск,-1.0,-1.0,-1.0,-1.0
329,Качканар,-1.0,-1.0,-1.0,-1.0
330,Кашин,92.0,-1.0,-1.0,141.0
331,Кашира,-1.0,-1.0,-1.0,-1.0
332,Кемерово,-1.0,-1.0,-1.0,-1.0
333,Кемь,-1.0,-1.0,-1.0,-1.0
334,Кепервеем,-1.0,-1.0,-1.0,-1.0
335,Керчь,111.0,-1.0,-1.0,-1.0
336,Кизел,-1.0,-1.0,-1.0,-1.0
337,Кизилюрт,-1.0,-1.0,-1.0,-1.0
338,Кизляр,-1.0,-1.0,-1.0,-1.0
339,Кимры,-1.0,-1.0,-1.0,-1.0
340,Кингисепп,-1.0,-1.0,-1.0,-1.0
341,Кинель,-1.0,-1.0,-1.0,-1.0
342,Кинешма,97.0,-1.0,-1.0,-1.0
343,Киренск,-1.0,-1.0,-1.0,-1.0
344,Киржач,69.0,-1.0,-1.0,160.0
345,Кириллов,-1.0,-1.0,-1.0,-1.0
346,Кириши,-1.0,-1.0,-1.0,-1.0
347,Киров,42.0,-1.0,-1.0,158.0
348,Кировград,-1.0,-1.0,-1.0,-1.0
349,Кирсанов,-1.0,-1.0,-1.0,-1.0
350,Киселёвск,-1.0,-1.0,-1.0,-1.0
351,Кисловодск,130.0,-1.0,-1.0,-1.0
