transport,departure,arrival,passengers
avia,Новосибирск,Удачный,189
avia,Тюмень,Толька,192
avia,Екатеринбург,Уфа,184
avia,Иркутск,Чита,196
avia,Симферополь (Крым),Уфа,186
avia,Сочи,Архангельск,189
avia,Сургут,Екатеринбург,192
avia,Екатеринбург,Красноярск,186
avia,Липецк,Санкт-Петербург,187
avia,Благовещенск,Екатеринбург,181
avia,Нарьян-Мар,Архангельск,180
avia,Новый Уренгой,Минеральные Воды,191
avia,Ростов-на-Дону,Волгоград,195
avia,Санкт-Петербург,Иваново,195
avia,Новосибирск,Сочи,194
avia,Краснодар,Волгоград,192
avia,Красноярск,Северо-Енисейский,184
avia,Ростов-на-Дону,Казань,195
avia,Тюмень,Уфа,190
avia,Симферополь (Крым),Тюмень,184
avia,Самара,Нижневартовск,184
avia,Якутск,Санкт-Петербург,184
avia,Хабаровск,Новосибирск,186
avia,Белоярский,Екатеринбург,179
avia,Сургут,Симферополь (Крым),184
avia,Астрахань,Казань,173
avia,Барнаул,Санкт-Петербург,179
avia,Москва,Кызыл,187
avia,Ленск,Иркутск,174
avia,Хабаровск,Санкт-Петербург,174
avia,Новосибирск,Талакан,184
avia,Казань,Махачкала,182
avia,Ростов-на-Дону,Челябинск,179
avia,Ханты-Мансийск,Екатеринбург,181
avia,Ноябрьск,Салехард,179
avia,Санкт-Петербург,Саратов,174
avia,Стрежевой,Новосибирск,177
avia,Бугульма,Новый Уренгой,175
avia,Екатеринбург,Ханты-Мансийск,168
avia,Краснодар,Хабаровск,177
avia,Санкт-Петербург,Брянск,161
avia,Новый Уренгой,Самара,169
avia,Нижневартовск,Ханты-Мансийск,169
avia,Екатеринбург,Белоярский,166
avia,Москва,Курск,174
avia,Санкт-Петербург,Липецк,165
avia,Екатеринбург,Благовещенск,167
avia,Иркутск,Ленск,164
avia,Екатеринбург,Нижневартовск,177
avia,Улан-Удэ,Таксимо,177
avia,Симферополь (Крым),Пермь,165
avia,Кызыл,Новосибирск,170
avia,Красноярск,Кызыл,166
avia,Архангельск,Сочи,174
avia,Махачкала,Краснодар,163
avia,Владивосток,Петропавловск-Камчатский,162
avia,Усинск,Москва,174
avia,Краснодар,Нижнекамск,163
avia,Саратов,Санкт-Петербург,166
avia,Нижнеангарск,Улан-Удэ,176
avia,Нерюнгри,Москва,171
avia,Сургут,Ростов-на-Дону,161
avia,Мурманск,Ростов-на-Дону,159
avia,Советский,Белоярский,166
avia,Северо-Енисейский,Красноярск,158
avia,Уфа,Ханты-Мансийск,157
avia,Иркутск,Братск,156
avia,Екатеринбург,Калининград,166
avia,Кепервеем,Магадан,161
avia,Москва,Удачный,161
avia,Санкт-Петербург,Саранск,160
avia,Москва,Нерюнгри,164
avia,Минеральные Воды,Казань,167
avia,Нижневартовск,Краснодар,158
avia,Ростов-на-Дону,Минеральные Воды,163
avia,Уфа,Самара,159
avia,Иркутск,Якутск,161
avia,Новосибирск,Стрежевой,165
avia,Новый Уренгой,Ростов-на-Дону,163
avia,Новосибирск,Магадан,155
avia,Ханты-Мансийск,Новосибирск,160
avia,Нягань,Белоярский,150
avia,Уфа,Тюмень,148
avia,Томск,Сочи,155
avia,Новосибирск,Кызыл,157
avia,Архангельск,Нарьян-Мар,150
avia,Ханты-Мансийск,Нижневартовск,157
avia,Бугульма,Сургут,149
avia,Минеральные Воды,Ростов-на-Дону,153
avia,Ростов-на-Дону,Мурманск,146
avia,Иркутск,Томск,148
avia,Иркутск,Сочи,149
avia,Курск,Москва,155
avia,Иркутск,Екатеринбург,148
avia,Иваново,Санкт-Петербург,149
avia,Казань,Астрахань,158
avia,Казань,Сургут,149
avia,Новый Уренгой,Бугульма,144
avia,Новый Уренгой,Пермь,153
avia,Нижневартовск,Казань,152
