;source;target;pass_day;transport;source_lat;source_lng;target_lat;target_lng;target_population;source_population;source_coords;target_coords;source_country;source_county;source_region;target_country;target_county;target_region
2522;Нижневартовск;Мурманск;2.3666666666666667;avia;60.9339411;76.5814274;68.970665;33.07497;59690.0;251860.0;(76.5814274, 60.9339411);(33.07497, 68.970665);Russia;;Khanty-Mansi;Russia;Murmansk;Murmansk
2523;Симферополь (Крым);Чита;2.4;avia;44.9521457;34.1024858;52.033409;113.500893;323964.0;332317.0;(34.1024858, 44.9521457);(113.500893, 52.033409);Russia;Simferopolska;Crimea;Russia;Chita;Zabaykalsky
2524;Белгород;Петропавловск-Камчатский;1.8;avia;50.5955595;36.5873394;53.0199693;158.6472187;179526.0;39026.0;(36.5873394, 50.5955595);(158.6472187, 53.0199693);Russia;;Belgorod;Russia;;Kamchatka
2525;Минеральные Воды;Улан-Удэ;2.2666666666666666;avia;44.2107377;43.134969;51.8357841;107.5839105;431922.0;76715.0;(43.134969, 44.2107377);(107.5839105, 51.8357841);Russia;;Stavropol;Russia;Ulan-Ude;Buryat
2526;Ноябрьск;Нижневартовск;1.9333333333333331;avia;63.2002917;75.4475807;60.9339411;76.5814274;251860.0;110572.0;(75.4475807, 63.2002917);(76.5814274, 60.9339411);Russia;Purovskiy;Yamalo-Nenets;Russia;;Khanty-Mansi
2527;Пермь;Чебоксары;1.9333333333333331;avia;58.014965;56.246723;56.1307195;47.2449597;447929.0;1000679.0;(56.246723, 58.014965);(47.2449597, 56.1307195);Russia;Perm';Perm;Russia;Cheboksary;Chuvash
2528;Ставрополь;Южно-Сахалинск;2.9;avia;45.0433245;41.9690934;46.9574273;142.727438;181727.0;32736.0;(41.9690934, 45.0433245);(142.727438, 46.9574273);Russia;Stavropol';Stavropol;Russia;;Sakhalin
2529;Якутск;Черский;2.5;avia;62.027287;129.732086;68.74390845;161.33080781;2555.0;269486.0;(129.732086, 62.027287);(161.33080781, 68.74390845);Russia;Jakutsk;Sakha;Russia;Nizhnekolymskiy;Sakha
2530;Владивосток;Волгоград;1.9;avia;43.1150678;131.8855768;48.64820995;44.3857638;1021244.0;592069.0;(131.8855768, 43.1150678);(44.3857638, 48.64820995);Russia;Vladivostokskiy;Primorsky;Russia;Volgograd;Volgograd
2531;Хабаровск;Пермь;2.1333333333333333;avia;48.481403;135.076935;58.014965;56.246723;1000679.0;42977.0;(135.076935, 48.481403);(56.246723, 58.014965);Russia;;Khabarovsk;Russia;Perm';Perm
2532;Южно-Сахалинск;Краснодар;1.9666666666666663;avia;46.9574273;142.727438;45.0352566;38.9764814;34926.0;181727.0;(142.727438, 46.9574273);(38.9764814, 45.0352566);Russia;;Sakhalin;Russia;Krasnodar;Krasnodar
2533;Пенза;Новокузнецк;2.033333333333333;avia;53.200001;45.0;53.757607;87.136101;547885.0;519592.0;(45.0, 53.200001);(87.136101, 53.757607);Russia;Penza;Penza;Russia;;Kemerovo
